Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2019.5 D K100 70.3 30.8    15d 10m    79d  2m    9913.1   9568.0   2592.9  51193.0  52144.0    13.1       1.3        -14.2    -23.6     32.6     29.8     26.5
2018,10,7 D K100 70.3 30.8    15d  0m    79d  1m    9923.6   9585.4   2568.9  51171.1  52124.5    13.0       1.3        -14.3    -23.6     32.6     29.8     26.5
2017.5 C K6470 70.3 30.8    14d 51m    79d 10m    9746.5   9421.0   2497.7  50949.0  51872.9    13.2       1.3        -14.5    -23.7     32.4     29.3     26.1
2016.5 D M1042 70.3 30.8    15d 24m    78d 59m   10368.4   9996.5   2752.4  53280.8  54280.2    12.9       1.3        -15.1    -25.0     33.6     32.5     29.0
2015.5 D F30000 70.3 30.8    15d  6m    78d 58m   10349.1   9991.5   2696.8  53066.2  54065.9    12.9       1.3        -15.2    -24.8     33.5     32.3     28.8
2018.7 D F30000 -70.3 -30.8     0d -48m   -60d 18m   18893.5  18891.6   -262.2 -33119.2  38129.3    -2.1       1.5        -26.0    -26.2    -11.1     78.9    -81.5
2018.7 D F30000 -70,18,0 -30,48,0     0d -48m   -60d 18m   18893.5  18891.6   -262.2 -33119.2  38129.3    -2.1       1.5        -26.0    -26.2    -11.1     78.9    -81.5
2018.7 D F30000 43,22,1 -30,8,   -10d 26m    59d 12m   23526.1  23136.7  -4262.4  39476.2  45954.8     9.7      -3.5         32.9     44.4     59.7    -35.8    -13.9
2018,4,7 D F30000 43,22,1 -54,36,9   -17d  6m    63d 47m   21679.1  20720.5  -6375.2  44038.3  49085.2     9.1      -5.4         40.0     55.0     43.0    -94.3    -66.9
2018,2,2 D K1.3 48.123 16.123     4d 10m    64d 29m   20942.9  20887.4   1523.6  43879.7  48621.3     7.1       0.3          8.9      5.6     43.9     29.7     30.6
2019,11,19 D K1.3 48.123 16.123     4d 23m    64d 30m   20958.8  20897.5   1602.4  43933.0  48676.3     7.1       0.3          9.0      5.6     43.9     29.7     30.7
2019.8849 D K1.3 48.123 16.123     4d 23m    64d 30m   20958.9  20897.5   1602.6  43933.1  48676.3     7.1       0.3          9.0      5.6     43.9     29.7     30.7
2018,4,7 D F0 43,22,1 -54,36,9   -17d  8m    63d 47m   21779.5  20813.9  -6413.3  44230.6  49302.0     9.1      -5.4         40.2     55.4     43.3    -94.7    -67.1
2015,1,1 D F30000 43,22,1 -54,36,9   -17d 36m    64d  5m   21549.4  20540.9  -6515.5  44346.0  49304.7     9.2      -5.4         39.6     55.0     43.0    -94.3    -67.5
2015,1,1 D F0 0.0 0.0    -5d 27m   -29d 44m   27667.8  27542.4  -2630.9 -15806.9  31864.8     7.4      -7.4         -2.1      3.6     59.9    -77.8     36.9
2020,1,1 D F0 0.0 0.0    -4d 50m   -30d 21m   27658.8  27560.4  -2331.6 -16195.9  32051.8     7.5      -7.3         -1.4      3.6     59.9    -77.8     38.2
